id,Titre en anglais,Titre en Japonais,Editeurs,Code JPN,Code USA,Sortie JPN,Sortie USA,Main Category,Sub Category
0162,Cosmo Police Galivan 2 - Arrow of Justice,コスモポリス ギャリバン,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-GI,,1993-06-11,,Beat 'em All,
0163,Crayon Shin-chan - Arashi wo Yobu Enji,クレヨンしんちゃん ゛嵐を呼ぶ園児,バンダイ / Bandai,SHVC-KU,,1993-07-30,,Platformer,
0164,Crayon Shin-chan 2 - Daimaou no Gyakushuu,クレヨンしんちゃん2 ゛大魔王の逆襲″,バンダイ / Bandai,SHVC-UE,,1994-05-27,,Platformer,
0165,Crayon Shin-chan: Nagagutsu Dobon!!,クレヨンしんちゃん 長ぐつどぼん！！,バンダイ / Bandai,SFT-0113-JPN,,1996-09-27,,Puzzle,
0166,Crystal Beans From Dungeon Explorer,クリスタルビーンズ フロムダンジョンエクスプローラ,ハドソン / Hudson,SHVC-AC3J-JPN,,1995-10-27,,RPG,Action
0167,Cu-On-Pa,クオンパ,ティーアンドイーソフト / T&E Soft / Onesong,SHVC-AC6J-JPN,,1996-12-20,,Puzzle,
0168,Cyber Knight,サイバーナイト,トンキンハウス（東京書籍） / グループSNE / Tonkin House (Tokyo Shoseki) / Group SNE,SHVC-CX,,1992-10-30,,RPG,
0169,Cyber Knight II - Chikyuu Teikoku no Yabou,サイバーナイトII 地球帝国の野望,トンキンハウス（東京書籍） / グループSNE / アトリエドゥーブル / Tonkin House (Tokyo Shoseki) / Group SNE / Atelier Double,SHVC-CZ,,1994-08-26,,RPG,
0170,Cyborg 009,サイボーグ009,ベック / Interbec,SHVC-S9,,1994-02-25,,Platformer,
0171,Dai 3 Ji Super Robot Taisen,第3次 スーパーロボット大戦,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-RT,,1993-07-23,,Strategy,
0172,Dai 4 Ji Super Robot Taisen,第4次 スーパーロボット大戦,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-AR4J-JPN,,1995-03-17,,Strategy,
0173,Dai Bakushou Jinsei Gekijou,大爆笑 人生劇場,タイトー / Taito,SHVC-GH,,1992-12-25,,Table Game,
0174,Dai Bakushou Jinsei Gekijou - Dokidoki Seishun Hen,大爆笑 人生劇場 〜ドキドキ青春編〜,タイトー / ディスコ / Taito / Disco,SHVC-G8,,1993-07-30,,Table Game,
0175,Dai Bakushou Jinsei Gekijou - Ooedo Nikki,大爆笑 人生劇場 大江戸日記,タイトー / Taito,SHVC-AKKJ-JPN,,1994-11-25,,Table Game,
0176,Dai Bakushou Jinsei Gekijou - Zukkoke Salary Man Hen,大爆笑 人生劇場 ずっこけサラリーマン編,タイトー / Taito,SHVC-AZSJ-JPN,,1995-12-29,,Table Game,
0177,Dai Koukai Jidai 2,大航海時代II,光栄 / Koei,SHVC-QL,,1994-02-25,,Strategy,
0178,Dai Senrya Ku Expert WWII - War in Europe,大戦略エキスパートWW II War In Europe,アスキー / システムソフト / ASCII / System Soft,SHVC-AEVJ-JPN,,1996-08-30,,Strategy,
0179,Dai Senryaku Expert,大戦略エキスパート,アスキー / システムソフト / ASCII / System Soft,SHVC-GS,,1992-09-25,,Strategy,
0180,Daikaijuu Monogatari,大貝獣物語,ハドソン / バースデイ / Hudson / Birthday,SHVC-ADKJ-JPN,,1994-12-22,,RPG,
0181,Daikaijuu Monogatari II,大貝獣物語II,ハドソン / バースデイ / Hudson / Birthday,SHVC-AE6J-JPN,,1996-08-02,,RPG,
0182,Darius Force,ダライアスフォース,タイトー / Taito,SHVC-DH,,1993-09-24,,SHMUP,Horizontal
0183,Darius Twin,ダライアスツイン,タイトー / Taito,SHVC-DT,SNS-DT,1991-03-29,1991-01-01,SHMUP,Horizontal
0184,Dark Half,ダークハーフ,エニックス / ウエストン / ティーズミュージック / Enix / Westone / T's Music,SHVC-AHLJ-JPN,,1996-05-31,,RPG,
0185,Dark Kingdom,ダークキングダム,日本テレネット / Telenet Japan,SHVC-QA,,1994-04-29,,RPG,
0186,Dark Law - Meaning Of Death,ダークロウ ミーニング・オブ・デス,アスキー / 酒田エス・エー・エス / ASCII / Sakata SAS,SHVC-ADUJ-JPN,,1997-03-28,,RPG,
0187,Date Kimiko no Virtual Tennis,伊達公子のバーチャルテニス,ビーアイ / B-AI,SHVC-VI,,1994-05-13,,Sports,Tennis
0188,David Crane's Amazing Tennis,アメージングテニス,パック・イン・ビデオ/エレクトロ・ブレイン / Pack-In-Video / Absolute Entertainment / Electro Brain,SHVC-ZT,SNS-ZT,1992-12-18,1992-01-01,Sports,Tennis
0189,Dead Dance,デッド・ダンス,ジャレコ / Jaleco,SHVC-TE,,1993-03-26,,Beat 'em All,
0190,Deae Tonosama Appare Ichiban,であえ殿さま あっぱれ一番,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-ADTJ-JPN,,1995-03-31,,Shooter,Vertical
0191,Dear Boys,ディア・ボーイズ,ユタカ / Yutaka,SHVC-9Y,,1994-10-28,,Sports,Basketball
0192,Death Brade,デスブレイド,アイマックス / データイースト / I'MAX / Data East,SHVC-DZ,,1993-07-16,,Sports,Wrestling
0193,Dekitate High School,できたてハイスクール,ビー・ピー・エス / Bullet-Proof Software,SHVC-ADHJ-JPN,,1995-07-07,,Strategy,
0194,Demon's Blazon - Makaimura Monshou Hen,デモンズ・ブレイゾン 魔界村 紋章編,カプコン / Capcom,SHVC-3Z,SNS-3Z,1994-10-21,,Platformer,
0195,Densetsu no Ogre Battle - The March of the Black Queen,伝説のオウガバトル,クエスト / Quest,SHVC-OB,SNS-OB,1993-03-12,,RPG,
0196,Der Langrisser,デア ラングリッサー,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-ALGJ-JPN,,1995-06-30,,Strategy,
0197,Derby Jockey - Kishu Ou he no Michi,ダービージョッキー 騎手王への道,アスミック / Asmik,SHVC-JQ,,1994-03-18,,Sports,Horse
0198,Derby Jockey 2,ダービージョッキー2,アスミック / ミューズソフト / Asmik / Muse Soft,SHVC-A2DJ-JPN,,1995-09-29,,Sports,Horse
0199,Derby Stallion '98,ダービースタリオン98,任天堂 / アスキー / パリティビット / Nintendo / ASCII / Parity Bit,SHVC-BDBJ-JPN,,1998-09-01,,Sports,Horse
0200,Derby Stallion 96,ダービースタリオン96,アスキー / パリティビット / ASCII / Parity Bit,SHVC-ZDBJ-JPN,,1996-03-15,,Sports,Horse
0201,Derby Stallion II,ダービースタリオンII,アスキー / パリティビット / ASCII / Parity Bit,SHVC-A7,,1994-02-18,,Sports,Horse
0202,Derby Stallion III,ダービースタリオンIII,アスキー / パリティビット / ASCII / Parity Bit,SHVC-AD3J-JPN,,1995-01-20,,Sports,Horse
0203,Desert Fighter - Suna no Arashi Sakusen,デザートファイター：砂の嵐作戦,セタ / オーパス / Seta / Opus,SHVC-OS,,1994-02-18,,Shooter,360
0204,Desert Strike - Return to the Gulf,デザートストライク 湾岸作戦,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Visual Concepts,SHVC-RG,SNS-RG,1993-03-26,1993-01-01,Shooter,360
0205,Destructive,デストラクティブ （スーパースコープ専用）,バンダイ / Bandai,SHVC-EA,,1993-08-27,,Shooter,Target
0206,Dezaemon - Kaite Tsukutte Asoberu,デザエモン,アテナ / Athena,SHVC-66,,1994-09-20,,SHMUP,Vertical
0207,Dharma Doujou,だるま道場,デンズ（アイ・ティー・シー） / DEN'Z(ITC) / Metro,SHVC-ADRJ-JPN,,1995-02-10,,Puzzle,Matching
0208,Dimension Force,ディメンションフォース,アスミック / Asmik,SHVC-DF,,1991-12-20,,SHMUP,Vertical
0209,Dino Wars - Kyouryuu Oukoku heno Daibouken,ダイナウォーズ 恐竜王国への大冒険,アイレム / IREM,SHVC-DW,,1992-07-17,,Platformer,
0210,Disney's Toy Story,トイ・ストーリー,カプコン / ディズニーインタラクティブ / Capcom / Disney Interactive / Travellers Tales,SHVC-AQHJ-JPN,SNS-AQHE-USA,1996-04-26,,Platformer,
0211,Do-Re-Mi Fantasy - Milon no Dokidoki Daibouken,ドレミファンタジー ミロンのドキドキ大冒険,ハドソン / Hudson,SHVC-AM4J-JPN,,1996-03-22,,Platformer,
0212,Dokapon 3・2・1 - Arashi o Yobu Yuujou,ドカポン3・2・1 〜嵐を呼ぶ友情〜,アスミック / Asmik,SHVC-AIXJ-JPN,,1994-12-02,,Table Game,
0213,Dokapon Gaiden - Honoo no Audition,ドカポン外伝 炎のオーディション,アスミック / Asmik,SHVC-AGNJ-JPN,,1995-12-01,,Table Game,
0214,Dokuritsu Sensou - Liberty Or Death,リバティ・オア・デス 独立戦争,光栄 / Koei,SHVC-QI,,1994-03-18,,Strategy,
0215,Dolucky no A. League Soccer,ドラッキーのAりーぐさっかー,イマジニアズーム / Imagineer-Zoom,SHVC-Z7,,1994-07-08,,Sports,Soccer
0216,Dolucky no Kusayakiu,ドラッキーの草やきう,イマジニアズーム / Imagineer-Zoom,SHVC-IM,,1993-12-17,,Sports,Baseball
0217,Dolucky no Puzzle Tour '94,ドラッキーのパズルツアー'94,イマジニアズーム / Imagineer-Zoom,SHVC-AZ8J-JPN,,1994-10-28,,Puzzle,
0218,Donald Duck - Mahou no Boushi,ドナルドダックの魔法のぼうし,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-ADDJ-JPN,,1995-08-11,,Platformer,
0219,Donald no Maui Mallard,ドナルドダックのマウイマラード,カプコン / ディズニーインタラクティブ / Capcom / Disney Interactive / Eurocom,SHVC-AZBJ-JPN,SNS-AZBE-USA,1996-12-20,,Platformer,
0220,Donkey Kong Country,スーパードンキーコング,任天堂 / レア / Nintendo / RARE,SHVC-8X-(G728314),SNS-8x,1994-11-26,1994-11-21,Platformer,
0221,Donkey Kong Country 2 - Diddy's Kong Quest,スーパードンキーコング2 ディクシー ＆ ディディー,任天堂 / レア / Nintendo / RARE,SHVC-ADNJ-JPN (G740814),SNS-ADNE-USA,1995-11-21,,Platformer,
0222,Donkey Kong Country 3 - Dixie Kong's Double Trouble,スーパードンキーコング3 謎のクレミス島,任天堂 / レア / Nintendo / RARE,SHVC-A3CJ-JPN,SNS-A3CE-USA,1996-11-23,,Platformer,
0223,Doom,ドゥーム,イマジニアズーム / Imagineer-Zoom / ID Software / Sculptured Software,SHVC-AD8J-JPN,SNS-AD8E-USA,1996-03-01,1996-02-29,Shooter,First Person
0224,Doraemon - Nobita to Yousei no Kuni,ドラえもん のび太と妖精の国,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-DR,,1993-02-19,,Platformer,
0225,Doraemon 2 - Nobita no Toys Land Daibouken,ドラえもん2 のび太のトイズランド大冒険,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-2D,,1993-12-17,,Platformer,
0226,Doraemon 3 - Nobita to Toki no Hougyoku,ドラえもん3 のび太と時の宝玉,エポック社 / Epoch,SHVC-4T,,1994-12-16,,Platformer,
0227,Doraemon 4 - Nobita to Tsuki no Oukoku,ドラえもん4 のび太と月の王国,エポック社 / アジェンダ / Epoch / Agenda,SHVC-AD4J-JPN,,1995-12-15,,Platformer,
0228,Dossun! Ganseki Battle,どっすん！岩石バトル,アイマックス / I'MAX,SHVC-ADGJ-JPN,,1994-12-16,,Puzzle,
0229,Doukyuusei 2,同級生2,バンプレスト / エルフ / Banpresto / Elf,SHVC-A88J-JPN,,1997-12-01,,Visual Novel,Drague
0230,Down The World - Mervil's Ambition,ダウン・ザ・ワールド,アスキー / ASCII,SHVC-W9,,1994-09-30,,RPG,
0231,Downtown Nekketsu Baseball Monogatari - Baseball de Shoubu da! Kunio-kun,ダウンタウン熱血べーすぼーる物語 野球で勝負だ！くにおくん,テクノスジャパン / Technos Japan,SHVC-NV,,1993-12-17,,Sports,Baseball
0232,Dr. Mario,ドクターマリオ,任天堂 / Nintendo,SHVC-BDMJ-JPN,,1998-06-01,,Puzzle,Matching
0233,Dragon Ball Z - Hyper Dimension,ドラゴンボールZ ハイパーディメンション,バンダイ / Bandai,SHVC-AZIJ-JPN,,1996-03-29,,Fighting,Versus
0234,Dragon Ball Z - Super Butouden,ドラゴンボールZ スーパーぶとうでん 超武闘伝,バンダイ / Bandai,SHVC-Z2,,1993-03-20,,Fighting,Versus
0235,Dragon Ball Z - Super Butouden 2,ドラゴンボールZ 超武闘伝2,バンダイ / Bandai,SHVC-EF,,1993-12-17,,Fighting,Versus
0236,Dragon Ball Z - Super Butouden 3,ドラゴンボールZ 超武闘伝3,バンダイ / Bandai,SHVC-AZ4J-JPN,,1994-09-29,,Fighting,Versus
0237,Dragon Ball Z - Super Gokuu Den - Kakusei Hen,ドラゴンボールZ 超悟空伝 覚醒編,バンダイ / Bandai,SHVC-A2ZJ-JPN,,1995-09-22,,RPG,
0238,Dragon Ball Z - Super Gokuu Den - Totsugeki Hen,ドラゴンボールZ 超悟空伝 突撃編,バンダイ / Bandai,SHVC-AZ5J-JPN,,1995-03-24,,RPG,
0239,Dragon Ball Z - Super Saiya Densetsu,ドラゴンボールZ スーパー超サイヤ伝説,バンダイ / Bandai,SHVC-DB,,1992-01-25,,RPG,
0240,Dragon Knight 4,ドラゴンナイトIV,バンプレスト / バンプレ企画 / エルフ / Banpresto / Elf,SHVC-A87J-JPN,,1996-12-27,,Strategy,
0241,Dragon Quest 1 & 2,ドラゴンクエストI・II,エニックス / チュンソフト / Enix / Chun Soft,SHVC-DQ,,1993-12-18,,RPG,
0242,Dragon Quest III - Soshite Densetsu he...,ドラゴンクエストIII そして伝説へ…,エニックス / ハートビート / Enix / Heartbeat,SHVC-AQ3J-JPN,,1996-12-06,,RPG,
0243,Dragon Quest V - Tenkuu no Hanayome,ドラゴンクエストV 天空の花嫁,エニックス / チュンソフト / Enix / Chun Soft,SHVC-D5,,1992-09-27,,RPG,
0244,Dragon Quest VI - Maboroshi no Daichi,ドラゴンクエストVI 幻の大地,エニックス / ハートビート / Enix / Heartbeat,SHVC-AQ6J-JPN,,1995-12-09,,RPG,
0245,Dragon Slayer - Eiyuu Densetsu,ドラゴンスレイヤー英雄伝説,エポック社 / 日本ファルコム / Epoch / Falcom,SHVC-DS,,1992-02-14,,RPG,
0246,Dragon Slayer - Eiyuu Densetsu 2,ドラゴンスレイヤー英雄伝説II,エポック社 / 日本ファルコム / Epoch / Falcom,SHVC-A2,,1993-06-04,,RPG,
0247,Dragon's Earth,ドラゴンズ・アース,ヒューマン / フィールド / Human / Field,SHVC-DG,,1993-01-22,,Strategy,
0248,Dragon's Magic (Dragon's Lair),ドラゴンズ マジック / ドラゴンズレア,コナミ / コナミ エンタテイメント / Konami / Motivetime Limited,SHVC-DI,,1993-06-25,,Aventure,QTE
0249,Drakkhen,ドラッケン,ケムコ（コトブキシステム）/ インフォグラム / Kemco / Infogames,SHVC-DK,SNS-DK,1991-05-24,1991-09-01,RPG,First Person
0250,Dream Basketball - Dunk & Hoop,ドリームバスケットボール ダンクアンドフープ,ヒューマン / Human,SHVC-ADBJ-JPN,,1994-11-18,,Sports,Basketball
0251,Drift King Shutokou Battle '94,ドリフトキング 土屋圭市＆坂東正明 首都高バトル'94,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-94,,1994-05-27,,Sports,Street Racing
0252,Drift King Shutokou Battle 2 - Tsuchiya Keiichi & Bandou Masaaki,ドリフトキング 土屋圭市＆坂東正明 首都高バトル2,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-ASXJ-JPN,,1995-02-24,,Sports,Street Racing
0253,Dual Orb - Seirei Tama Densetsu,デュアルオーブ 聖霊珠伝説,アイマックス / I'MAX,SHVC-DX,,1993-04-16,,RPG,
0254,Dual Orb 2,デュアルオーブII,アイマックス / I'MAX,SHVC-AD2J-JPN,,1994-12-29,,RPG,
0255,Dun Quest - Majin Fuuin no Densetsu,ダンクエスト 魔人封印の伝説,テクノスジャパン / 日本アプリケーション / Technos Japan,SHVC-AD9J-JPN,,1995-07-21,,RPG,
0256,Dungeon Master,ダンジョンマスター,ビクター音楽産業 / Victor Musical Industries / Software Heaven / FTL Games,SHVC-V2,SNS-V2,1991-12-20,1993-01-01,RPG,First Person
0257,Dynamaite - The Las Vegas,ダイナマイト・ザ・ラスベガス,ヴァージンゲーム / Virgin Games,SHVC-VQ,,1994-04-28,,Gambling,Casino
0258,Dynamic Stadium,ダイナミック スタジアム,サミー / Sammy,SHVC-YD,,1993-11-26,,Sports,Baseball
0259,Earth Light 2 - Luna Strike,アースライト ルナ・ストライク,ハドソン / Hudson,SHVC-AE5J-JPN,,1996-07-26,,Strategy,
0260,Earth Light: Anime-tic Space War Game,アースライト,ハドソン / Hudson,SHVC-H3,,1992-07-24,,Strategy,
0261,Earthworm Jim,アースワーム・ジム,タカラ / Takara / Playmates Interactive Entertainment / Shiny Entertainment,SHVC-AEJJ-JPN,SNS-AEJE-USA,1995-06-23,1994-06-22,Platformer,
0262,Edo no Kiba,エドノ 牙,マイクロワールド/ライオット（日本テレネット） / Micro World / Riot (Telenet Japan),SHVC-EK,,1993-03-12,,Beat 'em All,
0263,Eien no Filerna,永遠のフィレーナ,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-AFLJ-JPN,,1995-02-25,,RPG,
0264,Elfaria - A Fantastic Theater,エルファリア,ハドソン / Hudson,SHVC-H5,,1993-01-03,,RPG,
0265,Elfaria II - The Quest of the Meld,エルファリアII ザ・クエスト・オブ・ザ・メルド,ハドソン / レッド / Hudson / RED,SHVC-AEFJ-JPN,,1995-06-09,,RPG,
0266,Elnard,エルナード,エニックス / ゲームプラン21 / プロデュース / Enix / Gameplan 21 / Produce!,SHVC-EL,,1993-04-23,,RPG,
0267,Emerald Dragon,エメラルドドラゴン,メディアワークス / アルファ・システム / グローディア / ライトスタッフ / Media Works / Alfa System / Glodia / Right Stuff,SHVC-AMWJ-JPN,,1995-07-28,,RPG,Action
0268,EMIT Vol. 1 - Toki no Maigo,エミット Vol.1 時の迷子,光栄 / Koei,SHVC-AEMJ-JPN,,1995-03-25,,Visual Novel,
0269,EMIT Vol. 2 - Inochigake no Tabi,エミット Vol.2 命がけの旅,光栄 / Koei,SHVC-AEIJ-JPN,,1995-03-25,,Visual Novel,
0270,EMIT Vol. 3 - Watashi ni Sayonara wo,エミット Vol.3 私にさよならを,光栄 / Koei,SHVC-AETJ-JPN,,1995-03-25,,Visual Novel,
0271,Energy Breaker,エナジーブレイカー,タイトー / ネバーランド / Taito / Neverland,SHVC-AZLJ-JPN,,1996-07-26,,RPG,
0272,Esparks - Ijikuu Kara no Raihousha,エスパークス 異次空からの来訪者,トミー / Tomy,SHVC-EP,,1995-03-31,,RPG,Action
0273,Estpolis Denki,エストポリス伝記,タイトー / ディスコ/ネバーランド / Taito / Disco / Neverland,SHVC-ES,,1993-06-25,,RPG,
0274,Estpolis Denki II,エストポリス伝記II,タイトー / ネバーランド / Taito / Neverland,SHVC-ANIJ-JPN,SNS-ANIE-USA,1995-02-24,,RPG,
0275,Europe Sensen,ヨーロッパ戦線,光栄 / Koei,SHVC-YP,,1993-01-16,,Strategy,Turn Based
0276,Europe Sensen,ヨーロッパ戦線,光栄 / Koei,SHVC-YP,,1993-01-16,,Strategy,Turn Based
0277,Exhaust Heat,エキゾースト・ヒート,セタ / Seta,SHVC-EH,,1992-02-21,,Racing,Formule 1
0278,Exhaust Heat 2 - F1 Driver he no Kiseki,エキゾースト・ヒートII F1ドライバーへの軌跡,セタ / Seta,SHVC-E2,,1993-03-05,,Racing,Formule 1
0279,F-1 Grand Prix,F1グランプリ,ビデオシステム / Video System,SHVC-FG,,1992-04-28,,Racing,Formule 1
0280,F-1 Grand Prix Part 2,F1グランプリ パート2,ビデオシステム / Video System,SHVC-FV,,1993-02-26,,Racing,Formule 1
0281,F-1 Grand Prix Part 3,F1グランプリ パート3,ビデオシステム / Video System,SHVC-VF,,1994-04-22,,Racing,Formule 1
0282,F-15 Super Strike Eagle,F-15 スパーストライクイーグル,アスミック / マイクロプローズ / Asmik / Micro Prose,SHVC-EG,,1993-11-26,,Strategy,
0283,F-15 Super Strike Eagle,F-15 スパーストライクイーグル,アスミック / マイクロプローズ / Asmik / Micro Prose,SHVC-EG,,1993-11-26,,Strategy,
0284,F-Zero,エフゼロ,任天堂 / Nintendo,SHVC-FZ,SNS-FZ,1990-11-21,1991-08-13,Racing,Fun
0285,Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo,ファミコン探偵倶楽部 PART II,任天堂 / Nintendo,SHVC-BTCJ-JPN,,1998-04-01,,Aventure,Enquêtes
0286,Far East Of Eden - Tengai Makyou Zero,天外魔境ＺＥＲＯ,ハドソン / レッド / Hudson / RED,SHVC-AZRJ-JPN,,1995-12-22,,RPG,
