Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Goofy to Max - Kaizoku Shima no Daibouken,グーフィーとマックス 海賊島の大冒険,カプコン / Capcom,SHVC-G6,1994-07-22,Puzzle,Réflexion
Gouketuji Ichizoku,豪血寺一族,アトラス / Atlus,SHVC-AGKJ-JPN / SNS-AGKE-USA,1994-10-14,Fighting,Versus
Gourmet Sentai Bara Yarou,美食戦隊 薔薇野郎 ぐるめせんたい ばらやろう,"ヴァージンインタラクティブ エンターテインメント / /ウインズ, フューパック / Virgin Interactive Entertainment / Winds, Fupac",SHVC-AV6J-JPN,1995-09-29,Beat 'em All,
Gousou Jinrai Densetsu - Musya,豪槍神雷伝説 武者,データム・ポリスター / Datam Polystar,SHVC-MY,1992-04-21,Beat 'em All,
GP-1,GP-1,アトラス / 元気 / Atlus / Genki,SHVC-G7 / SNS-G7,1993-06-25 / 1993-01-01,Racing,Formule 1
GP-1 Part II,GP-1 - Rapid Stream,アトラス / 元気 / Atlus / Genki,SHVC-AGRJ-JPN / SNS-AGRE-USA,1994-11-18,Racing,Formule 1
Gradius III,グラディウスIII,コナミ / Konami,SHVC-G3 / SNS-G3,1990-12-21 / 1991-08-01,SHMUP,Horizontal
Granhistoria - Genshi Sekaiki,グランヒストリア 〜幻史世界記〜,バンプレスト / Banpresto,SHVC-AIRJ-JPN,1995-06-30,RPG,
GT Racing,ジーティーレーシング,イマジニア / Imagineer,SHVC-AIKJ-JPN,1996-03-29,Racing,Formule 1
Gunforce - Battle Fire Engulfed Terror Island,ガンフォース,"アイレム, タムテックス / IREM, Tamtex / BITS",SHVC-GU,1992-11-27,Platformer,
Habu Meijin no Omoshiro Shougi,羽生名人のおもしろ将棋,トミー / サムシンググッド / Tomy / Something Good,SHVC-IL,1995-03-31,Table Game,Shougi
Hagane,鋼,"ハドソン / レッド, シーエイプロダクション / Hudson / RED, CAProduction (Computer Artist Production)",SHVC-AHGJ-JPN / SNS-AHGE-USA,1994-11-18 / 1994-01-01,Beat 'em All,
Hai Toride,牌砦 −トリデ−,タカラ / Takara / Metoro,SHVC-ACSJ-JPN,1994-12-09,Puzzle,
Haisei Mahjong Ryouga,牌勢麻雀 凌駕,アスキー / ASCII,SHVC-AMJJ-JPN,1995-04-28,Table Game,Mahjong
Hakunetsu Pro Yakyuu - Ganba League,白熱プロ野球 ガンバリーグ,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-GL-(ESPG38),1991-08-09,Sports,Baseball
Hakunetsu Pro Yakyuu '93 - Ganba League,白熱プロ野球'93 ガンバリーグ,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-GV-(ESPG47),1992-12-11,Sports,Baseball
Hakunetsu Pro Yakyuu '94 - Ganba League 3,白熱プロ野球'94 ガンバリーグ3,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-E3-(ESPG50),1993-12-10,Sports,Baseball
Hamelin no Violin Hiki,ハーメルンのバイオリン弾き,エニックス / ダフト / Enix / Daft,SHVC-AVNJ-JPN,1995-09-29,Platformer,
Hana no Keiji: Kumo no Kanata ni,花の慶次 —雲のかなたに—,四次元 / パック・イン・ビデオ / Yojigen / Pack-in-Video,SHVC-AY4J-JPN,1994-11-18,Fighting,Versus
Hanafuda Ou,花札王,ココナッツジャパン / Coconuts Japan,SHVC-IJ,1994-12-16,Table Game,
"Hanjuku Hero - Hanjuku Eiyuu Aa, Sekai yo Hanjuku Nare...!!",はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！,スクウェア / Square,SHVC-HH,1992-12-19,Strategy,
Hansei Zaru Jirou-kun no Daibouken,反省ザル ジローくんの大冒険,ナツメ / Natsume,SHVC-HJ,1991-12-27,Platformer,
Haou Taikei Ryuu Knight - Lord of Paladin,覇王大系リューナイト ロードオブパラディン,バンダイ / 日本アートメディア / Bandai / Japan Art Media (JAM),SHVC-UR,1994-12-22,RPG,Action
Harapeko Bakka,はらぺこバッカ,魔法株式会社 / Magical Company,SHVC-ABKJ-JPN,1994-10-19,Puzzle,
Harukanaru Augusta,遥かなるオーガスタ,ティーアンドイーソフト / T&E Soft,SHVC-GA,1991-04-05,Sports,Golf
Harukanaru Augusta 2 - Masters,マスターズ 遥かなるオーガスタ2 MASTERS,ティーアンドイーソフト / T&E Soft,SHVC-O2,1993-09-22,Sports,Golf
Harukanaru Augusta 3 - Masters New,マスターズ ニュー 遥かなるオーガスタ3 MASTERS New,ティーアンドイーソフト / T&E Soft,SHVC-AO3J-JPN,1995-12-08,Sports,Golf
Hashire Hebereke,はしれへべれけ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AHHJ-JPN,1994-12-22,Puzzle,Puzzle
Hat Trick Hero,ハットトリックヒーロー,タイトー / Taito,SHVC-HT,1992-03-27,Sports,Soccer
Hat Trick Hero 2,ハットトリックヒーロー2,タイトー / Taito,SHVC-2Y,1994-07-29,Sports,Soccer
Hatayama Hachi no Pro Yakyuu News Jitsmeiban,はた山ハッチのパロ野球ニュース！実名版,エポック社 / アジェンダ / Epoch / Agenda,SHVC-EB,1993-10-29,Sports,Baseball
Hayashi Kaihou Kudan no Igo Oodou,林海峯九段の囲碁大道,アスク講談社 / Ask Kodansha,SHVC-AIDJ-JPN,1996-03-22,Table Game,Igo
Hayazashi Nidan: Morita Shougi,早指し 二段 森田将棋,セタ / ランダムハウス / Seta / Random House,SHVC-2M,1993-06-18,Table Game,Shougi
Hayazashi Nidan: Morita Shougi 2,早指し 二段 森田将棋2,セタ / ランダムハウス / Seta / Random House,SHVC-A2MJ-JPN,1995-05-26,Table Game,Shougi
Hebereke no Oishii Puzzle ha Irimasenka,へべれけのおいしいパズルはいりませんか,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-O3,1994-08-31,Puzzle,Puzzle
Hebereke no Popoon,へべれけのぽぷーん,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-HU,1993-12-22,Puzzle,Matching
Heian Fuuunden,平安風雲伝,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AKHJ-JPN,1995-09-29,RPG,
Heisei Gunjin Shougi,平成軍人将棋,カロッツェリアジャパン / Carrozzeria Japan,SHVC-AG7J-JPN,1996-01-26,Table Game,Shougi
Heisei Inu Monogatari Bow - Pop'n Smash!!,平成イヌ物語バウ ポップンスマッシュ！！,タカラ / Takara,SHVC-QQ,1994-04-28,Sports,
Heisei Shin Oni Ga Shima Kouhen,平成 新 鬼ヶ島 後編,任天堂 / パックスソフトニカ / Nintendo / Pax Softonica,SHVC-AO5J-JPN,1997-12-01,Visual Novel,
Heisei Shin Oni Ga Shima Zenpen,平成新 鬼ヶ島前編,任天堂 / パックスソフトニカ / Nintendo / Pax Softonica,SHVC-AO4J-JPN,1997-12-01,Visual Novel,
Heiwa Pachinko World,平和 パチンコワールド,ショウエイシステム / Shouei System,SHVC-AHWJ-JPN,1995-02-24,Gambling,Pachinko
Heiwa Pachinko World 2,平和 パチンコワールド2,ショウエイシステム / Shouei System,SHVC-AWTJ-JPN,1995-09-29,Gambling,Pachinko
Heiwa Pachinko World 3,平和 パチンコワールド3,ショウエイシステム / Shouei System,SHVC-A3WJ-JPN,1996-04-26,Gambling,Pachinko
Heiwa Parlor! Mini 8 - Pachinko Jikki Simulation Game,平和 パーラー！ミニ8 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQUJ-JPN,1998-01-30,Gambling,Pachinko
Hello! Pac-Man,ハロー！パックマン,ナムコ / Namcot,SHVC-PN,1994-08-26,Platformer,
Herakles no Eikou III - Kamigami no Chinmoku,ヘラクレスの栄光III 神々の沈黙,データイースト / Data East,SHVC-HE,1992-04-24,RPG,
Herakles no Eikou IV - Kamigami Kara no Okurimono,ヘラクレスの栄光IV 神々からの贈り物,データイースト / Data East,SHVC-4E,1994-10-21,RPG,
Hero Senki - Project Olympus,ヒーロー戦記 プロジェクト オリュンポス,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-HS,1992-11-20,RPG,
Hi no Ouji Yamato Takeru,火の皇子 ヤマトタケル,東宝 / マルチメディア インテリジェンス トランスファー（ミット） / Toho / Multimedia Intelligence Transfer (MIT),SHVC-AYTJ-JPN,1995-09-29,RPG,
Higashio Osamu Kanshuu - Super Pro Yakyuu Stadium,東尾 修 監修 スーパープロ野球スタジアム,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-PK,1993-09-30,Sports,Baseball
Hiouden - Mamono-tachi Tono Chikai,緋王伝 魔物達との誓い,ウルフチーム（日本テレネット） / Wolfteam (Telenet Japan),SHVC-HR,1994-02-11,Strategy,
Hiryu no Ken S - Hyper Version,ハイパーバージョン 飛龍の拳S,カルチャーブレーン / Culture Brain,SHVC-HP,1992-12-11,Beat 'em All,
Hiryu no Ken S - Golden Fighter,ゴールデンファイター飛龍の拳S,カルチャーブレーン / Culture Brain,SHVC-HK,1992-07-31,Beat 'em All,
Hissatsu Pachinko Collection,必殺パチンココレクション,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AHPJ-JPN,1994-10-21,Gambling,Pachinko
Hissatsu Pachinko Collection 2,必殺パチンココレクション2,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-A2HJ-JPN,1995-03-24,Gambling,Pachinko
Hissatsu Pachinko Collection 3,必殺パチンココレクション3,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-A3HJ-JPN,1995-11-02,Gambling,Pachinko
Hissatsu Pachinko Collection 4,必殺パチンココレクション4,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AH4J-JPN,1996-08-30,Gambling,Pachinko
Hisshou 777 Fighter - Pachi-Slot Ryuuguu Densetsu,必勝スリーセブンファイター パチスロ竜宮伝説,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-IH,1994-01-14,Gambling,Pachinko
Hisshou 777 Fighter 2 - Pachi-Slot Maruhi Jouhou,必勝スリーセブンファイター2 パチスロ○秘情報,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-72,1994-08-19,Gambling,Pachinko
Hisshou 777 Fighter 3 - Kokuryuu Ou no Fukkatsu,必勝777 FIGHTER III 黒竜王の復活 スリーセブンファイター,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-A73J-JPN,1995-09-15,Gambling,Pachinko
Hisshou Pachi-Slot Fun,必勝パチスロファン,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APNJ-JPN,1994-12-16,Gambling,Pachinko
Hokuto no Ken 5 - Tenma Ryuuseiden Ai Zetsu Shou,北斗の拳5 天魔流星伝 哀・絶章,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K5,1992-07-10,RPG,
Hokuto no Ken 6 - Gekitou Denshou Ken Haou heno Michi,北斗の拳6 激闘伝承拳 覇王への道,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K6,1992-11-20,Fighting,Versus
Hokuto no Ken 7 - Seiken Retsuden - Den Shou Sha he no Michi,北斗の拳7 聖拳列伝 伝承者への道,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K7,1993-12-24,Fighting,Versus
Holy Striker,ホーリーストライカー,ヘクト / アクシズ アート アミューズ / hector / Axes Art Amuse,SHVC-AI,1993-12-17,Puzzle,
Holy Umbrella - Dondera no Mubo!!,ホーリーアンブレラ ドンデラの無謀！！,ナグザット / Naxat Soft,SHVC-ADQJ-JPN,1995-09-29,RPG,Action
Home Alone,ホーム・アローン,アルトロン / Altron / Imagineering,SHVC-HA / SNS-HA,1992-08-11 / 1991-12-01,Platformer,
Honkaku Mahjong - Tetsuman,本格麻雀 徹萬,ナグザット / Naxat Soft,SHVC-OM,1993-09-24,Table Game,Mahjong
Honkaku Mahjong - Tetsuman II,本格麻雀 徹萬II,ナグザット/ギャップス / Naxat Soft / GAPS,SHVC-AOXJ-JPN,1994-10-21,Table Game,Mahjong
Honkaku Shougi - Fuuunji Ryuuou,本格将棋 風雲児 龍王,ヴァージンゲーム / Virgin Games,SHVC-AV3J-JPN,1994-12-22,Table Game,Shougi
Honkakuha Igo: Gosei,本格派囲碁 碁聖,タイトー / Taito,SHVC-AKWJ-JPN,1994-10-28,Table Game,Igo
Honke Hanafuda,本家花札,イマジニア / Imagineer,SHVC-87,1994-09-22,Table Game,Shougi
Honke Sankyo Fever - Jikki Simulation,本家SANKYO FEVER 実機シミュレーション,デンズ（アイ・ティー・シー） / 三共 / ティー・イー・エヌ / DEN'Z(ITC) / Sankyo / T・E・N,SHVC-AFPJ-JPN,1995-06-10,Gambling,Pachinko
Honke Sankyo Fever - Jikki Simulation 2,本家Sankyo FEVER 2 実機シミュレーション,ボスコミュニケーションズ / 三共 / ティー・イー・エヌ / Boss Communications / Sankyo / T・E・N / Japan Vistec,SHVC-A33J-JPN,1995-12-15,Gambling,Pachinko
Honke Sankyo Fever 3 - Jikki Simulation,本家Sankyo FEVER 3 実機シミュレーション,"ボスコミュニケーションズ / 三共, ティー・イー・エヌ / Boss Communications / Sankyo, T・E・N",SHVC-A37J-JPN,1996-08-31,Gambling,Pachinko
Honoo no Doukyuuji - Dodge Danpei,炎の闘球児 ドッジ弾平,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-DD,1992-07-31,Sports,Dodgeball
Hook,フック,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / 浮世亭 / Epic Sony Records (Sony Music Entertainment) / Ukiyotei,SHVC-HO-(ESPG46) / SNS-HO,1992-07-17 / 1992-01-01,Platformer,
Hoshi no Kirby 3,星のカービィ3,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-AFJJ-JPN / SNS-AFJE-USA,1998-03-26 / 1998-03-27,Platformer,
Hoshi no Kirby Super Deluxe,星のカービィ スーパーデラックス,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-AKFJ-JPN / SNS-AKFE-USA,1996-03-21 / 1996-09-20,Platformer,
Houkago in Beppin Jogakuin,放課後 in Beppin 女学院,イマジニア / Imagineer,SHVC-ABEJ-JPN,1995-02-03,Strategy,
Hourai Gakuen no Bouken! - Tenkousei Scramble,蓬莱学園の冒険！転校生スクランブル,J・ウイング / ダイナマイト / J-WING / Dynamite,SHVC-AJHJ-JPN,1996-04-19,RPG,
Human Baseball,ヒューマンベースボール,"ヒューマン, フィールド / Human, Field",SHVC-HB,1993-08-06,Sports,Baseball
Human Grand Prix,ヒューマングランプリ,ヒューマン / Human,SHVC-HG,1992-11-20,Racing,Formule 1
Human Grand Prix 2,ヒューマングランプリ2,ヒューマン / Human,SHVC-2G,1993-12-24,Racing,Formule 1
Human Grand Prix 3 - F1 Triple Battle,ヒューマングランプリ3 F1トリプルバトル,ヒューマン / Human,SHVC-AGXJ-JPN,1994-09-30,Racing,Formule 1
Human Grand Prix IV - F1 Dream Battle,ヒューマングランプリ4 F1ドリームバトル,ヒューマン / Human,SHVC-AG4J-JPN,1995-08-25,Racing,Formule 1
Hyper Iria,ハイパーイリア,"バンプレスト / Banpresto, Crowd / Zeiram Project",SHVC-AZEJ-JPN,1995-10-13,Platformer,
Hyper Zone,ハイパーゾーン,ハル研究所（HALKEN） / HAL Laboratory,SHVC-HZ,1991-08-31,SHMUP,Behind
Idea no Hi,イデアの日,ショウエイシステム / Shouei System,SHVC-ID,1994-03-18,RPG,
Igo Club,囲碁倶楽部,ヘクト / Hector,SHVC-AIVJ-JPN,1996-01-26,Table Game,Igo
Ihatovo Monogatari,イーハトーヴォ物語,ヘクト / hector,SHVC-H8,1993-03-05,RPG,
Ikari no Yousai,怒りの要塞,ジャレコ / デーシーイー / Jaleco / DCE,SHVC-IY,1993-04-23,Shooter,360
Illvanian no Shiro - Ruins of Illvanian,イルバニアンの城,日本クラリービジネス / アトリエドゥーブル / Japan Clary Buisness / Atelier Double,SHVC-ARIJ-JPN,1994-10-28,Strategy,
Inazuma Serve da!! Super Beach Volley,稲妻サーブだ！ スーパービーチバレー,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment,SHVC-AV7J-JPN,1995-08-04,Sports,Volleyball
Indiana Jones' Greatest Adventures,インディ・ジョーンズ,"ビクターエンタテインメント / ルーカスアーツ, ファクター5 / Victor Entertainment / Lucas Arts, Factor 5",SHVC-AIJJ-JPN / SNS-AIJE-USA,1995-07-28 / 1994-10-01,Platformer,
International Tennis Tour,インターナショナルテニスツアー,マイクロワールド / Micro World / Loriciel,SHVC-IT / SNS-IT,1993-03-26 / 1993-01-01,Sports,Tennis
Ippatsu Gyakuten!! Keiba Keirin Kyoutei,一発逆転！！ 競馬・競輪・競艇,プランニングオフィスワダ（パウ） / Planning Office WADA(POW) / Eleca,SHVC-AUMJ-JPN,1996-04-26,Sports,Horse
Iron Commando - Kotetsu no Senshi,鋼鉄の戦士 アイアンコマンドー,"パック・イン・ビデオ, ポッポ / アーケードゾーン / Pack-in-Video, Poppo / Arcade Zone",SHVC-AICJ-JPN,1995-02-10,Beat 'em All,
Iso Zuri Ritou Hen,磯釣り 離島篇,パック・イン・ビデオ / Pack-in-Video,SHVC-A5IJ-JPN,1996-01-19,Sports,Pêche
Itadaki Street 2 - Neon Sign ha Bara Iro ni,いただきストリート2 ネオンサインはバラ色に,エニックス / トムキャットシステム / Enix / Tomcat System,SHVC-I2,1994-02-26,Table Game,
Itoi Shigesato no Bass Tsuri No. 1,糸井重里のバス釣りNo.1,任天堂 / ハル研究所 / ダイス / Nintendo / HAL Laboratory / Dice / Shigesato Itoi,SHVC-ZBPJ-JPN,1997-02-21,Sports,Pêche
Itou Hate Rokudan no Shougi Doujou,伊藤果六段の将棋道場,アスク講談社 / Ask Kodansha,SHVC-Q2,1994-02-04,Table Game,Shougi
J League '96 Dream Stadium,Jリーグ'96 ドリームスタジアム,ハドソン / Hudson,SHVC-AJ6J-JPN,1996-06-01,Sports,Soccer
J League Soccer Prime Goal,Jリーグサッカー プライムゴール,ナムコ / Namcot,SHVC-JE,1993-08-06,Sports,Soccer
J League Soccer Prime Goal 2,Jリーグサッカー プライムゴール2,ナムコ / Namcot,SHVC-2H,1994-08-05,Sports,Soccer
J League Soccer Prime Goal 3,Jリーグサッカー プライムゴール3,ナムコ / Namco,SHVC-AJ3J-JPN,1995-08-04,Sports,Soccer
J League Super Soccer,Jリーグ スーパーサッカー,ハドソン / Hudson,SHVC-VX,1994-03-18,Sports,Soccer
J League Super Soccer '95 - Jikkyou Stadium,Jリーグ スーパーサッカー 実況スタジアム,ハドソン / Hudson,SHVC-AJSJ-JPN,1995-03-17,Sports,Soccer
J. League Excite Stage '94,Jリーグエキサイトステージ'94,エポック社 / 小学館プロダクション / Epoch / Shogakukan Production,SHVC-JL,1994-05-01,Sports,Soccer
J. League Excite Stage '95,Jリーグエキサイトステージ'95,エポック社 / 小学館プロダクション / Epoch / Shogakukan Production,SHVC-AJ2J-JPN,1995-04-28,Sports,Soccer
J. League Excite Stage '96,Jリーグエキサイトステージ'96,エポック社 / 小学館プロダクション / Epoch / Shogakukan Production,SHVC-AE3J-JPN,1996-04-26,Sports,Soccer
Jammes,ジャムズ,カロッツェリアジャパン / Carrozzeria Japan,SHVC-AJMJ-JPN,1995-02-10,Puzzle,Matching
Janyuuki - Gokuu Randa,雀遊記 悟空乱打,ヴァージンゲーム / Virgin Games,SHVC-AV4J-JPN,1995-01-13,Table Game,Mahjong
JB The Super Bass,JBザ・スーパーバス,"NGP / ギャップス, ナグザット / N&G Project / GAPS, Naxat",SHVC-A94J-JPN,1995-12-15,Sports,Pêche
Jelly Boy 2,,,,,Prototype,
Jerry Boy,ジェリーボーイ,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント）/ ゲームフリーク / Epic Sony Records (Sony Music Entertainment) / Game Freak,SHVC-JB,1991-09-13,Platformer,
Jigsaw Party,ジグソーパ〜ティ〜,ホリ電機 / Hori Electric,SHVC-Z5 / SNS-Z5,1994-07-22,Puzzle,Puzzle
Jikkyou Keiba Simulation Stable Star,ステイブルスター 〜厩舎物語〜,コナミ / Konami,SHVC-AKQJ-JPN,1996-03-22,Sports,Horse
Jikkyou Oshaberi Parodius - Forever With Me,実況おしゃべりパロディウス,コナミ / Konami,SHVC-AJOJ-JPN,1995-12-15,SHMUP,Horizontal
Jikkyou Power Pro Wrestling '96 - Max Voltage,実況パワープロレスリング'96 マックス ボルテージ,コナミ / Konami,SHVC-AJXJ-JPN,1996-09-13,Sports,Wrestling
Jikkyou Powerful Pro Yakyuu - Basic Ban '98,ベーシック版 実況パワフルプロ野球 Basic'98,コナミ / コナミコンピュータエンタテイメント大阪 / ダイヤモンドヘッドプロダクション / Konami / Konami Computer Entertainment Osaka (KCEO) / Diamond Head Production,SHVC-AJ5J-JPN,1998-03-19,Sports,Baseball
Jikkyou Powerful Pro Yakyuu '94,実況パワフルプロ野球'94,コナミ / Konami,SHVC-YX,1994-03-11,Sports,Baseball
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban,実況パワフルプロ野球'96開幕版,コナミ / ダイヤモンドヘッドプロダクション / Konami / Diamond Head Production,SHVC-A57J-JPN,1996-07-19,Sports,Baseball
Jikkyou Powerful Pro Yakyuu 2,実況パワフルプロ野球2,コナミ / Konami,SHVC-AP2J-JPN,1995-02-24,Sports,Baseball
Jikkyou Powerful Pro Yakyuu 3,実況パワフルプロ野球3,コナミ / ダイヤモンドヘッドプロダクション / Konami / Diamond Head Production,SHVC-A3JJ-JPN,1996-02-29,Sports,Baseball
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru,実況パワフルプロ野球3 '97春,コナミ / コナミコンピュータエンタテイメント大阪 / ダイヤモンドヘッドプロダクション / Konami / Konami Computer Entertainment Osaka (KCEO) / Diamond Head Production,SHVC-AQ7J-JPN,1997-03-20,Sports,Baseball
Jikkyou World Soccer - Perfect Eleven,実況ワールドサッカー パーフェクトイレブン,コナミ / Konami,SHVC-3U / SNS-3U,1994-11-11 / 1995-06-01,Sports,Soccer
Jikkyou World Soccer 2 - Fighting Eleven,実況ワールドサッカー2 ファイティング イレブン,コナミ / Konami,SHVC-AWJJ-JPN / SNS-AWJE-USA,1995-09-22,Sports,Soccer
Jimmy Connors Pro Tennis Tour,ジミーコナーズのプロテニスツアー,"ミサワエンターテインメント / Ubisoft, Blue Byte / Misawa Entertainment",SHVC-JC / SNS-JC,1993-10-29 / 1994-01-01,Sports,Tennis
Jissen Kyoutei,実戦競艇,イマジニア / Imagineer,SHVC-AKOJ-JPN,1995-06-23,Sports,Boat Racing 
Jissen Pachi Slot Hisshouhou! Yamasa Densetsu,実戦パチスロ必勝法！山佐伝説,サミー / Sammy,SHVC-AY8J-JPN,1996-04-05,Gambling,Pachinko
Jissen Pachi-Slot Hisshouhou Classic,実戦！パチスロ必勝法！ クラシック,サミー / Sammy,SHVC-AJCJ-JPN,1995-07-07,Gambling,Pachinko
Jissen Pachinko Hisshouhou! 2,実戦パチンコ必勝法！2,サミー / Sammy,SHVC-A9ZJ-JPN,1996-03-08,Gambling,Pachinko
Jissen! Bass Fishing Hisshouhou in USA,実戦バスフィッシング必勝法 in USA,サミー / Sammy,SHVC-AFUJ-JPN / SNS-AFUE-USA,1995-08-25,Sports,Pêche
Jissen! Mahjong Shinan,実戦！麻雀指南,アスク講談社 / Ask Kodansha,SHVC-AJIJ-JPN,1995-01-13,Table Game,Mahjong
Jissen! Pachi-Slot Hisshouhou!,実戦！パチスロ必勝法！,サミー / Sammy,SHVC-PI,1993-11-26,Gambling,Pachinko
Jissen! Pachi-Slot Hisshouhou! 2,実戦！パチスロ必勝法！2,サミー / Sammy,SHVC-XU,1994-09-16,Gambling,Pachinko
Jissen! Pachi-Slot Hisshouhou! Twin,ツイン 実戦パチスロ必勝法！TWIN,サミー / Sammy,SHVC-AZHJ-JPN,1997-03-15,Gambling,Pachinko
Jissen! Pachi-Slot Hisshouhou! Twin Vol. 2,ツイン Vol.2 実戦パチスロ必勝法！TWIN 2,サミー / Sammy,SHVC-AZOJ-JPN (V-972701),1997-09-12,Gambling,Pachinko
John Madden NFL Pro Football '94,NFLプロフットボール'94 ジョンマッデン,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / High Score Productions,SHVC-9M,1993-12-24,Sports,Football
JoJo no Kimyou na Bouken,ジョジョの奇妙な冒険,バンダイ / コブラ・チーム / ウィンキーソフト / Bandai / Cobra Team / winkysoft,SHVC-JK,1993-03-05,RPG,
Joushou Mahjong Tenpai,常勝麻雀 天牌,エニックス / ゲームアーツ / マイクロパイン / Enix / Game Arts / Micro Pine,SHVC-ZTMJ-JPN,1995-09-29,Table Game,Mahjong
JRA PAT - Wide Taiyouban,JRA PAT ワイド対応版,NTT / NTT,SHVC-TJDJ-JPN-P1,,Gambling,Horse
JRA PAT - Wide Taiyouban,JRA PAT ワイド対応版,NTT / NTT,SHVC-TJDJ-JPN-P2,,Gambling,Horse
JRA PAT - Wide Taiyouban,JRA PAT ワイド対応版,NTT / NTT,SHVC-TJEJ-JPN-P3,,Gambling,Horse
JRA PAT (Japan Racing Association - Personal Access Terminal),日本中央競馬会,NTT / NTT,SHVC-TJAJ-JPN-S1,,Gambling,Horse
JRA PAT (Japan Racing Association - Personal Access Terminal),日本中央競馬会,NTT / NTT,SHVC-TJAJ-JPN-S2,,Gambling,Horse
JRA PAT (Japan Racing Association - Personal Access Terminal),日本中央競馬会,NTT / NTT,SHVC-TJBJ-JPN-S3,,Gambling,Horse
JRA PAT (Japan Racing Association - Personal Access Terminal),日本中央競馬会,NTT / NTT,SHVC-TJBJ-JPN-U1,,Gambling,Horse
JRA PAT (Japan Racing Association - Personal Access Terminal),日本中央競馬会,NTT / NTT,SHVC-TJBJ-JPN-U2,,Gambling,Horse
JRA PAT (Japan Racing Association - Personal Access Terminal),日本中央競馬会,NTT / NTT,SHVC-TJBJ-JPN-U3,,Gambling,Horse
Judge Dredd,ジャッジ・ドレッド,アクレイムジャパン / Acclaim Japan / Probe,SHVC-AJDJ-JPN / SNS-AJDE-USA,1995-10-27 / 1995-10-26,Platformer,
Jumbo Ozaki no Hole In One,ジャンボ尾崎のホールインワン,ハル研究所（HALKEN） / HAL Laboratory,SHVC-JO,1991-02-23,Sports,Golf
Jumpin' Derby,ジャンピンダービー,ナグザット / Naxat Soft,SHVC-AJUJ-JPN,1996-04-26,Sports,Horse
Jungle no Ouja Taa-chan - Sekai Manyuu Dai Kakutou no Maki,ジャングルの王者ターちゃん 世界漫遊大格闘の巻,バンダイ / 空想科学 / Bandai / Kuusoukagaku,SHVC-5J,1994-09-18,Platformer,
Jungle Strike - The Sequel to Desert Strike,ジャングルストライク 受け継がれた狂気,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Granite Bay Software,SHVC-AJGJ-JPN / SNS-AJGE-USA,1995-09-22 / 1995-09-21,Shooter,Over Head
Jungle Wars 2 - Kodai Mahou Atimos no Nazo,ジャングルウォーズ2 古代魔法アティモスの謎,"ポニーキャニオン / パウワウ, アトリエドゥーブル / Pony Canyon / POWWOW, Atelier Double",SHVC-JW-(R95V5945),1993-03-19,RPG,
Jurassic Park,ジュラシック・パーク,ジャレコ / Jaleco / Ocean,SHVC-J8 / SNS-J8,1994-06-24 / 1994-01-01,Aventure,
Justice League Task Force,ジャスティスリーグ,"アクレイムジャパン / サンソフト / Acclaim Japan / Blizzard Entertainment, Sunsoft",SHVC-AJLJ-JPN / SNS-AJLE-USA,1995-10-27 / 1995-01-01,Fighting,Versus
